region_id,region_name,flower_png
0,OHI Assessment,./figs/flower_OHIAssessment.png
1,Cocos Islands,./figs/flower_CocosIslands.png
2,Christmas Island,./figs/flower_ChristmasIsland.png
3,Norfolk Island,./figs/flower_NorfolkIsland.png
4,Macquarie Island,./figs/flower_MacquarieIsland.png
5,New Caledonia,./figs/flower_NewCaledonia.png
6,Vanuatu,./figs/flower_Vanuatu.png
7,Solomon Islands,./figs/flower_SolomonIslands.png
8,Palau,./figs/flower_Palau.png
9,Micronesia,./figs/flower_Micronesia.png
10,Nauru,./figs/flower_Nauru.png
11,Marshall Islands,./figs/flower_MarshallIslands.png
12,Wake Island,./figs/flower_WakeIsland.png
13,Northern Mariana Islands and Guam,./figs/flower_NorthernMarianaIslandsandGuam.png
14,Taiwan,./figs/flower_Taiwan.png
15,Philippines,./figs/flower_Philippines.png
16,Australia,./figs/flower_Australia.png
17,Papua New Guinea,./figs/flower_PapuaNewGuinea.png
18,Fiji,./figs/flower_Fiji.png
19,Tuvalu,./figs/flower_Tuvalu.png
20,South Korea,./figs/flower_SouthKorea.png
21,North Korea,./figs/flower_NorthKorea.png
24,Cambodia,./figs/flower_Cambodia.png
25,Thailand,./figs/flower_Thailand.png
26,Andaman and Nicobar,./figs/flower_AndamanandNicobar.png
28,Comoro Islands,./figs/flower_ComoroIslands.png
29,Mayotte,./figs/flower_Mayotte.png
30,Glorioso Islands,./figs/flower_GloriosoIslands.png
31,Seychelles,./figs/flower_Seychelles.png
32,Reunion,./figs/flower_Reunion.png
33,Juan de Nova Island,./figs/flower_JuandeNovaIsland.png
34,Bassas da India,./figs/flower_BassasdaIndia.png
35,Ile Europa,./figs/flower_IleEuropa.png
36,Ile Tromelin,./figs/flower_IleTromelin.png
37,Mauritius,./figs/flower_Mauritius.png
38,British Indian Ocean Territory,./figs/flower_BritishIndianOceanTerritory.png
39,Maldives,./figs/flower_Maldives.png
40,Sri Lanka,./figs/flower_SriLanka.png
41,Mozambique,./figs/flower_Mozambique.png
42,Madagascar,./figs/flower_Madagascar.png
43,Kenya,./figs/flower_Kenya.png
